ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006323	GO:0006323	DNA packaging	39/899	194/17913	7.45242655748327e-14	3.28787509849694e-11	2.99665994206169e-11	TOP2A/SRPK1/CCNB1/NUSAP1/HJURP/ASF1B/CDCA5/NCAPH/CENPA/CHAF1B/CENPU/NCAPG/HMGA1/CDK1/HELLS/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/NCAPG2/H2AX/CENPH/H1-0/H3C10/CENPW/H3C4/H4C8/H2BC8/CDKN2A/H1-4/H2BC4/H2BC9/H1-2/H4C5/ERN2	39
GO:0006261	GO:0006261	DNA-dependent DNA replication	30/899	130/17913	1.38444611845822e-12	5.5989308440648e-10	5.10301981558023e-10	GINS1/CDC6/E2F8/GINS2/MCM4/CDT1/DONSON/TONSL/CCNE1/POLE2/HMGA1/DNA2/RAD51/POLG2/FEN1/BLM/RFC4/MCM2/TWNK/CHTF18/MCM6/CHEK2/GMNN/TICRR/GINS4/DDX11/CCNE2/DSCC1/MCM7/E2F7	30
GO:0000075	GO:0000075	cell cycle checkpoint	37/899	197/17913	2.84644713564588e-12	1.06260061148381e-09	9.68483470767936e-10	CDC20/CCNB1/PLK1/ZWINT/CNOT11/AURKB/BUB1B/CDC6/E2F8/CENPF/CDC25C/CDC45/GTSE1/CDT1/NDC80/DONSON/AURKA/SOX4/KNTC1/DNA2/BUB1/TTK/MAD2L1/CDK1/CHEK1/BLM/BRIP1/TRIP13/DTL/CHEK2/TICRR/H2AX/CLSPN/E2F7/E2F1/SFN/HORMAD1	37
GO:1902850	GO:1902850	microtubule cytoskeleton organization involved in mitosis	27/899	116/17913	1.47662899691438e-11	4.91630802748298e-09	4.48085857505037e-09	CDC20/RCC1/SAPCD2/CCNB1/PLK1/TPX2/NUSAP1/KIF4A/AURKB/MYBL2/KIF11/STIL/PRC1/NDC80/CENPA/KIFC1/TTK/MAD2L1/SPC25/ESPL1/KIF23/TACC3/POC1A/CHEK2/CENPE/WDR62/RACGAP1	27
GO:0033045	GO:0033045	regulation of sister chromatid segregation	21/899	70/17913	1.51956769858324e-11	4.91630802748298e-09	4.48085857505037e-09	CDC20/RMI2/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDCA5/CDT1/NDC80/BUB1/TTK/MAD2L1/FEN1/ESPL1/TACC3/TRIP13/CENPE/DDX11	21
GO:0007088	GO:0007088	regulation of mitotic nuclear division	30/899	150/17913	6.51720492289664e-11	1.97674971817609e-08	1.8016641503955e-08	CDC20/RCC1/CCNB1/PLK1/UBE2C/NEK2/NUSAP1/AURKB/ANLN/BUB1B/DLGAP5/CDC6/KIF11/CENPF/CDC25C/CDCA5/PKMYT1/MKI67/CDT1/NDC80/AURKA/KNTC1/TTK/MAD2L1/CHEK1/ESPL1/TACC3/TRIP13/CENPE/EGF	30
GO:0007051	GO:0007051	spindle organization	29/899	147/17913	1.91332521255827e-10	5.15853736474737e-08	4.70163306618119e-08	CDC20/RCC1/CCNB1/PLK1/SPAG5/TPX2/NEK2/KIF4A/AURKB/MYBL2/KIF11/STIL/PRC1/NDC80/ASPM/AURKA/KIFC1/TTK/SPC25/ESPL1/KIF23/TACC3/POC1A/CHEK2/CENPE/TUBG1/WDR62/AUNIP/RACGAP1	29
GO:0007093	GO:0007093	mitotic cell cycle checkpoint	29/899	147/17913	1.91332521255827e-10	5.15853736474737e-08	4.70163306618119e-08	CDC20/CCNB1/PLK1/ZWINT/CNOT11/AURKB/BUB1B/E2F8/CENPF/CDC25C/GTSE1/CDT1/NDC80/DONSON/AURKA/SOX4/KNTC1/BUB1/TTK/MAD2L1/CDK1/BLM/TRIP13/CHEK2/TICRR/CLSPN/E2F7/E2F1/SFN	29
GO:0051783	GO:0051783	regulation of nuclear division	31/899	172/17913	4.89047981274149e-10	1.13753208787877e-07	1.0367780826329e-07	CDC20/RCC1/CCNB1/PLK1/UBE2C/NEK2/NUSAP1/AURKB/ANLN/BUB1B/DLGAP5/CDC6/KIF11/CENPF/CDC25C/CDCA5/PKMYT1/MKI67/CDT1/NDC80/AURKA/KNTC1/TTK/MAD2L1/CHEK1/ESPL1/TACC3/TRIP13/CENPE/EGF/HORMAD1	31
GO:0007091	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	16/899	47/17913	4.92235191540369e-10	1.13753208787877e-07	1.0367780826329e-07	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0010965	GO:0010965	regulation of mitotic sister chromatid separation	16/899	47/17913	4.92235191540369e-10	1.13753208787877e-07	1.0367780826329e-07	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0031497	GO:0031497	chromatin assembly	29/899	153/17913	5.18009419339327e-10	1.14268168729716e-07	1.04147156940854e-07	HJURP/ASF1B/CENPA/CHAF1B/CENPU/HMGA1/HELLS/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/H2AX/CENPH/H1-0/H3C10/CENPW/H3C4/H4C8/H2BC8/CDKN2A/H1-4/H2BC4/H2BC9/H1-2/H4C5	29
GO:0034508	GO:0034508	centromere complex assembly	17/899	54/17913	5.70628727443343e-10	1.20402661490545e-07	1.09738302641507e-07	HJURP/CENPF/CENPA/CENPU/HELLS/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPE/CENPH/CENPW/H4C8/H4C5	17
GO:0044784	GO:0044784	metaphase/anaphase transition of cell cycle	16/899	49/17913	9.97286233400081e-10	1.93593203627624e-07	1.76446179063038e-07	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0051306	GO:0051306	mitotic sister chromatid separation	16/899	49/17913	9.97286233400081e-10	1.93593203627624e-07	1.76446179063038e-07	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0006333	GO:0006333	chromatin assembly or disassembly	31/899	178/17913	1.17621685722084e-09	2.1954540031126e-07	2.00099726074574e-07	HJURP/ASF1B/CENPA/CHAF1B/CENPU/HMGA1/HELLS/MCM2/CENPL/SUV39H2/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/H2AX/CENPH/H1-0/H3C10/CENPW/H3C4/H4C8/H2BC8/CDKN2A/H1-4/H2BC4/H2BC9/H1-2/H4C5/H2AW	31
GO:0007052	GO:0007052	mitotic spindle organization	22/899	95/17913	1.25725918701273e-09	2.25980697576769e-07	2.05965033287621e-07	CDC20/RCC1/CCNB1/PLK1/TPX2/KIF4A/AURKB/MYBL2/KIF11/STIL/PRC1/NDC80/KIFC1/TTK/SPC25/KIF23/TACC3/POC1A/CHEK2/CENPE/WDR62/RACGAP1	22
GO:1905818	GO:1905818	regulation of chromosome separation	16/899	52/17913	2.67823005809222e-09	4.64194659711484e-07	4.23079800906147e-07	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0006334	GO:0006334	nucleosome assembly	26/899	135/17913	2.84184097790101e-09	4.75567388474262e-07	4.33445219206535e-07	HJURP/ASF1B/CENPA/CHAF1B/CENPU/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/H2AX/CENPH/H1-0/H3C10/CENPW/H3C4/H4C8/H2BC8/H1-4/H2BC4/H2BC9/H1-2/H4C5	26
GO:0034728	GO:0034728	nucleosome organization	29/899	165/17913	3.23749728960013e-09	5.2371914488098e-07	4.77332056522798e-07	HJURP/ASF1B/CENPA/CHAF1B/CENPU/HMGA1/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/H2AX/CENPH/H1-0/H3C10/CENPW/H3C4/H4C8/H2BC8/H1-4/H2BC4/H2BC9/H1-2/H4C5/H2AW/BRDT	29
GO:0031055	GO:0031055	chromatin remodeling at centromere	15/899	46/17913	3.40900199610398e-09	5.33673764099762e-07	4.86404970717451e-07	HJURP/CENPA/CENPU/HELLS/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	15
GO:0071824	GO:0071824	protein-DNA complex subunit organization	36/899	240/17913	3.7804015204948e-09	5.73321518092539e-07	5.22541025957866e-07	HJURP/ASF1B/CENPF/CDT1/CENPA/CHAF1B/CENPU/HMGA1/HELLS/RAD51/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPE/GMNN/H2AX/CENPH/H1-0/SOX12/H3C10/CENPW/H3C4/H4C8/H2BC8/H1-4/H2BC4/H2BC9/H1-2/H4C5/H2AW/BRDT	36
GO:0044843	GO:0044843	cell cycle G1/S phase transition	40/899	288/17913	5.08103710169528e-09	7.37606945969139e-07	6.7227529080489e-07	RCC1/IQGAP3/CCNB1/EZH2/CNOT11/RRM2/PPAT/ORC6/CDC6/E2F8/CDC25C/CCNA2/CDC45/GTSE1/MCM4/CDT1/AURKA/SOX4/CDKN3/CCNE1/POLE2/KIF14/ORC1/MCM10/CDK1/TYMS/MCM2/FAM83D/CDC25A/MCM6/CHEK2/GMNN/DBF4/CCNE2/MCM7/E2F7/EIF4EBP1/E2F1/CDKN2A/SFN	40
GO:0065004	GO:0065004	protein-DNA complex assembly	33/899	210/17913	5.16765632865253e-09	7.37606945969139e-07	6.7227529080489e-07	HJURP/ASF1B/CENPF/CDT1/CENPA/CHAF1B/CENPU/HELLS/RAD51/MCM2/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPE/GMNN/H2AX/CENPH/H1-0/SOX12/H3C10/CENPW/H3C4/H4C8/H2BC8/H1-4/H2BC4/H2BC9/H1-2/H4C5	33
GO:0008608	GO:0008608	attachment of spindle microtubules to kinetochore	12/899	29/17913	5.58264984571555e-09	7.74074277178788e-07	7.05512621103662e-07	CCNB1/SPAG5/KIF2C/NEK2/AURKB/CDT1/NDC80/ECT2/SGO1/KNL1/CENPE/RACGAP1	12
GO:0045787	GO:0045787	positive regulation of cell cycle	47/899	373/17913	5.814313556061e-09	7.83801769099e-07	7.14378525221296e-07	CCNB1/UBE2C/EZH2/SPAG5/CNOT11/NUSAP1/AURKB/DLGAP5/CDC6/E2F8/TFAP4/CDC25C/GTSE1/CDCA5/CDT1/NDC80/AURKA/SOX4/CCNE1/ECT2/KIF14/MAD2L1/CDK1/FEN1/CHEK1/ESPL1/KIF23/CKS1B/POC1A/FAM83D/DTL/ASNS/PLK4/CHEK2/FAP/DDX11/OVOL1/RACGAP1/E2F7/EIF4EBP1/E2F1/MIF/EGF/SFN/PTK6/FOXA1/CIT	47
GO:0000082	GO:0000082	G1/S transition of mitotic cell cycle	38/899	269/17913	7.67083723484253e-09	1.00612359731597e-06	9.17008764176623e-07	RCC1/IQGAP3/CCNB1/EZH2/CNOT11/RRM2/PPAT/ORC6/CDC6/E2F8/CDC25C/CDC45/GTSE1/MCM4/CDT1/AURKA/SOX4/CDKN3/CCNE1/POLE2/KIF14/ORC1/MCM10/CDK1/TYMS/MCM2/CDC25A/MCM6/CHEK2/GMNN/DBF4/CCNE2/MCM7/E2F7/EIF4EBP1/E2F1/CDKN2A/SFN	38
GO:0034080	GO:0034080	CENP-A containing nucleosome assembly	14/899	42/17913	8.24687329974824e-09	1.02620708009431e-06	9.35313403658357e-07	HJURP/CENPA/CENPU/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	14
GO:0061641	GO:0061641	CENP-A containing chromatin organization	14/899	42/17913	8.24687329974824e-09	1.02620708009431e-06	9.35313403658357e-07	HJURP/CENPA/CENPU/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	14
GO:0033047	GO:0033047	regulation of mitotic sister chromatid segregation	16/899	57/17913	1.18123522900839e-08	1.43313364159443e-06	1.30619748218244e-06	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	16
GO:0030198	GO:0030198	extracellular matrix organization	43/899	334/17913	1.37245879616449e-08	1.62452257019177e-06	1.48063462425755e-06	COL10A1/SPP1/FERMT1/MMP11/P3H4/ERO1A/COL1A1/PRDX4/TIMP1/GREM1/MMP1/COL3A1/ADAMTS14/MMP12/ADAM8/COL11A1/ITGA11/SULF1/FAP/ADAM12/COL5A2/COL5A1/MMP9/MMP13/COMP/MELTF/COL7A1/MFAP2/LOXL2/VCAN/MMP3/COL1A2/CTSV/IBSP/MMP10/SCUBE3/COL9A2/FGB/ITGB4/PRSS2/SERPINB5/AGT/MMP7	43
GO:0030071	GO:0030071	regulation of mitotic metaphase/anaphase transition	14/899	44/17913	1.63256499211861e-08	1.886389977798e-06	1.71930779370486e-06	CDC20/CCNB1/PLK1/AURKB/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TRIP13/CENPE	14
GO:0051304	GO:0051304	chromosome separation	17/899	68/17913	2.80071861520774e-08	3.16090405572166e-06	2.88093503576571e-06	CDC20/CCNB1/PLK1/AURKB/BUB1B/DLGAP5/CDC6/CENPF/NCAPH/CDT1/NDC80/TTK/MAD2L1/ESPL1/TACC3/TRIP13/CENPE	17
GO:0006336	GO:0006336	DNA replication-independent nucleosome assembly	15/899	53/17913	2.99319663159852e-08	3.20212181407594e-06	2.91850203623307e-06	HJURP/ASF1B/CENPA/CENPU/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	15
GO:0034724	GO:0034724	DNA replication-independent nucleosome organization	15/899	53/17913	2.99319663159852e-08	3.20212181407594e-06	2.91850203623307e-06	HJURP/ASF1B/CENPA/CENPU/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	15
GO:0090068	GO:0090068	positive regulation of cell cycle process	38/899	283/17913	3.09787083332965e-08	3.20212181407594e-06	2.91850203623307e-06	CCNB1/UBE2C/EZH2/SPAG5/CNOT11/NUSAP1/AURKB/DLGAP5/CDC6/E2F8/CDC25C/GTSE1/CDCA5/CDT1/NDC80/AURKA/SOX4/CCNE1/ECT2/KIF14/MAD2L1/CDK1/FEN1/ESPL1/KIF23/POC1A/FAM83D/DTL/PLK4/CHEK2/FAP/DDX11/RACGAP1/E2F7/E2F1/EGF/SFN/CIT	38
GO:1902099	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	14/899	46/17913	3.10116887000967e-08	3.20212181407594e-06	2.91850203623307e-06	CDC20/CCNB1/PLK1/AURKB/DLGAP5/CDC6/CENPF/CDT1/NDC80/TTK/MAD2L1/ESPL1/TRIP13/CENPE	14
GO:0031570	GO:0031570	DNA integrity checkpoint	25/899	141/17913	3.25926590480866e-08	3.29525363250759e-06	3.00338494122938e-06	CCNB1/PLK1/CNOT11/CDC6/E2F8/CDC25C/CDC45/GTSE1/CDT1/DONSON/AURKA/SOX4/DNA2/CDK1/CHEK1/BLM/BRIP1/DTL/CHEK2/TICRR/H2AX/CLSPN/E2F7/E2F1/SFN	25
GO:0000226	GO:0000226	microtubule cytoskeleton organization	52/899	460/17913	3.69196638622119e-08	3.65655364741458e-06	3.33268372822802e-06	CDC20/RCC1/SAPCD2/KIF20A/CCNB1/PLK1/SPAG5/KIF2C/TPX2/NEK2/PCLAF/NUSAP1/KIF4A/KAT2A/AURKB/MYBL2/KIF11/SKA3/STIL/PRC1/KIF18B/NDC80/CENPA/ASPM/XRCC2/CCNF/AURKA/KIFC1/GAPDH/SGO1/TTK/PAK1/MAD2L1/CDK1/SPC25/CHEK1/SKA1/ESPL1/KIF23/TACC3/POC1A/FIGNL1/PLK4/CHEK2/CENPE/ATAT1/TUBG1/WDR62/AUNIP/RACGAP1/MCIDAS/TRIM46	52
GO:0032392	GO:0032392	DNA geometric change	19/899	86/17913	3.81194146668462e-08	3.69987038756409e-06	3.37216379852816e-06	TOP2A/HMGB3/RECQL4/GINS1/GINS2/CDC45/MCM4/RAD54L/HMGA1/DNA2/RAD51/BLM/BRIP1/MCM2/TWNK/MCM6/GINS4/DDX11/MCM7	19
GO:0051321	GO:0051321	meiotic cell cycle	30/899	203/17913	1.05060255072996e-07	9.99720427194604e-06	9.11172738527818e-06	TOP2A/CDC20/PLK1/NEK2/C11orf80/NCAPH/P3H4/EXO1/RAD54L/ASPM/XRCC2/AURKA/SGO1/TTK/FANCA/RAD51/FANCD2/ESPL1/BRIP1/TRIP13/TDRKH/FIGNL1/H2AX/TUBG1/OVOL1/SGO2/SYCE3/HORMAD1/DUSP13/BRDT	30
GO:0030574	GO:0030574	collagen catabolic process	12/899	37/17913	1.37296287429488e-07	1.2813440055679e-05	1.16785222627269e-05	MMP11/MMP1/ADAMTS14/MMP12/FAP/MMP9/MMP13/MMP3/MMP10/PRSS2/KLK6/MMP7	12
GO:0032508	GO:0032508	DNA duplex unwinding	17/899	76/17913	1.63067179428452e-07	1.49314155050241e-05	1.36089034351213e-05	TOP2A/RECQL4/GINS1/GINS2/CDC45/MCM4/HMGA1/DNA2/RAD51/BLM/BRIP1/MCM2/TWNK/MCM6/GINS4/DDX11/MCM7	17
GO:0006338	GO:0006338	chromatin remodeling	25/899	156/17913	2.50546029941747e-07	2.25166645056907e-05	2.0522308339478e-05	KAT2A/HJURP/CENPA/CENPU/HMGA1/PAK1/HELLS/CHEK1/FOXP3/CENPL/SUV39H2/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/PABPC1L/CENPW/H4C8/CDKN2A/FOXA1/H4C5/BRDT	25
GO:0071459	GO:0071459	protein localization to chromosome, centromeric region	9/899	21/17913	3.30401766464204e-07	2.91534504118324e-05	2.65712578503844e-05	AURKB/BUB1B/CDT1/NDC80/CENPA/TTK/CDK1/KNL1/HASPIN	9
GO:0043062	GO:0043062	extracellular structure organization	44/899	387/17913	3.54807230148792e-07	3.07478479984302e-05	2.80244357346847e-05	COL10A1/SPP1/FERMT1/MMP11/P3H4/ERO1A/COL1A1/PRDX4/P4HB/TIMP1/GREM1/MMP1/COL3A1/ADAMTS14/MMP12/ADAM8/COL11A1/ITGA11/SULF1/FAP/ADAM12/COL5A2/COL5A1/MMP9/MMP13/COMP/MELTF/COL7A1/MFAP2/LOXL2/VCAN/MMP3/COL1A2/CTSV/IBSP/MMP10/SCUBE3/COL9A2/FGB/ITGB4/PRSS2/SERPINB5/AGT/MMP7	44
GO:0043486	GO:0043486	histone exchange	14/899	55/17913	3.68960048145317e-07	3.09888531715952e-05	2.8244094488931e-05	HJURP/CENPA/CENPU/CENPL/CENPI/KNL1/CENPM/MIS18A/CENPK/OIP5/CENPH/CENPW/H4C8/H4C5	14
GO:0033044	GO:0033044	regulation of chromosome organization	38/899	311/17913	3.70359259005259e-07	3.09888531715952e-05	2.8244094488931e-05	TOP2A/CDC20/RMI2/CCNB1/PLK1/NEK2/KAT2A/AURKB/BUB1B/DLGAP5/CDC6/CCT3/CENPF/CDCA5/GNL3/MKI67/CDT1/NDC80/DKC1/HMGA1/BUB1/TTK/MAD2L1/FEN1/CHEK1/ESPL1/FOXP3/TACC3/MCM2/TRIP13/CENPE/CCT5/DDX11/PIF1/KPNA7/DNMT3B/PKIB/TWIST1	38
GO:0034502	GO:0034502	protein localization to chromosome	17/899	82/17913	5.20505084698725e-07	4.28137487464901e-05	3.90216300785735e-05	PLK1/EZH2/AURKB/BUB1B/CCT3/CDCA5/GNL3/CDT1/NDC80/CENPA/DKC1/TTK/CDK1/KNL1/ESCO2/CCT5/HASPIN	17
GO:0032963	GO:0032963	collagen metabolic process	19/899	102/17913	6.539025496354e-07	5.28898178896766e-05	4.82052370801395e-05	MMP11/P3H4/CBX8/COL1A1/MMP1/ADAMTS14/MMP12/FAP/SERPINH1/COL5A1/MMP9/MMP13/RCN3/MMP3/COL1A2/MMP10/PRSS2/KLK6/MMP7	19
