ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070371	GO:0070371	ERK1 and ERK2 cascade	63/1389	289/17913	3.58072828083556e-14	1.60565823993135e-11	1.08238505752275e-11	TEK/AGER/ADRA1A/RAMP3/ALKAL2/FGF10/SEMA6A/CD36/FPR2/GLIPR2/ANGPT1/FGF2/FFAR4/P2RY1/FGFR4/BMPER/MARCO/GPER1/C5AR1/GAS6/KLF4/NDRG4/ERBB4/TLR4/PTGER4/FGFR2/TIMP3/RRAS/SCIMP/NPNT/NDRG2/ARRB1/PDGFB/BMP2/PLA2G5/FLT4/DUSP1/CCN2/SIRPA/DAB2IP/TNFAIP8L3/CCN1/ATF3/FBLN1/CD44/ALOX15/SPRY4/CAMK2N1/AKAP12/PRKCZ/JUN/CTSH/CD4/IL1B/LRP1/FGF18/PTPRC/CX3CL1/CD74/KDR/ROS1/ICAM1/CCL21	63
GO:0045765	GO:0045765	regulation of angiogenesis	75/1389	383/17913	5.17992789178948e-14	2.14409169120917e-11	1.44534668138515e-11	ANGPT4/TEK/RAMP2/RGCC/ACVRL1/ECSCR/EMP2/CDH5/STARD13/SEMA6A/NPR1/MMRN2/SEMA5A/CXCR2/RHOJ/TIE1/HSPB6/SASH1/FGF2/JCAD/BMPER/CCBE1/TGFBR2/RECK/CD34/AGTR1/C5AR1/KLF4/ENG/ANXA3/GATA6/GAB1/GATA2/KLF2/HYAL1/TNFSF12/GPR4/RRAS/HOXA5/PTPRM/PF4/MAP3K3/PPARG/TSPAN12/DCN/AQP1/IL6/DAB2IP/ETS1/CCL24/IL1A/VASH1/C6/CX3CR1/PTGIS/COL4A3/AKT3/CYBB/PPP1R16B/MEOX2/PRKD1/PDE3B/APLNR/CTSH/TGFB2/IL1B/PTN/ENPP2/ID1/FGF18/CX3CL1/KDR/SEMA3E/ANXA1/APOH	75
GO:0090130	GO:0090130	tissue migration	72/1389	363/17913	8.58961541835281e-14	3.30148004043975e-11	2.22554997982284e-11	ANGPT4/TEK/RGCC/ACVRL1/PECAM1/EMP2/FGF10/FOXF1/STARD13/CLEC14A/PRKCE/MMRN2/GLIPR2/SEMA5A/SLIT2/RHOJ/HBEGF/KANK2/SASH1/ANGPT1/FGF2/JCAD/ADTRP/BMPER/CCBE1/TGFBR2/WNT7A/AMOTL1/AGTR2/CDH13/KLF4/PPM1F/BMPR2/ANXA3/GATA2/HYAL1/ZEB2/TNFSF12/PTPRM/SOX18/MAP3K3/EDN1/PDGFB/FLT4/PPARG/APOA1/DCN/DAB2IP/MCC/ATOH8/ETS1/VASH1/EPB41L5/NR4A1/AKT3/EGR3/EFNB2/PTPRG/ACTG2/MEOX2/PRKD1/JUN/CTSH/TGFB2/FGF7/PTN/ENPP2/ID1/FGF18/KDR/ANXA1/APOH	72
GO:0050878	GO:0050878	regulation of body fluid levels	88/1389	499/17913	1.89076964618517e-13	6.78282097741495e-11	4.57234540403797e-11	WNT3A/CHRM1/SCUBE1/EDNRB/EMP2/CAV1/FGF10/ADCY8/CDO1/CD36/GP9/PRKCE/NPR1/F11/HBB/THBD/CORO2B/PEAR1/CPB2/SELP/HEG1/WFS1/P2RY1/ADCY4/FLI1/F8/ADTRP/INPP5K/VWF/HPS5/AVPR2/CD34/MYL9/MMRN1/GAS6/GNAQ/AQP4/HYAL2/GATA6/ERBB4/A2M/GATA2/PRKCQ/UBASH3B/TLR4/SOCS2/PRKCH/PROS1/F10/PRKG1/PAPSS2/NPR3/PTPRO/PF4/SERPING1/GJA5/ARRB1/EDN1/PDGFB/DOCK11/MAFF/AQP1/F2RL3/PIK3R1/IL6/PIK3R5/PDPN/ADCY9/EHD2/P2RX1/FCER1G/ANXA8/FBLN1/GJA1/DOCK8/APLN/CFTR/P2RX7/SCNN1G/FERMT3/P2RY12/APLNR/VTN/SCNN1B/TRPC6/FOXA2/APOH/SERPINA1	88
GO:0050678	GO:0050678	regulation of epithelial cell proliferation	72/1389	369/17913	2.01791593411194e-13	6.78650352591021e-11	4.57482783483536e-11	WNT3A/TEK/EDNRB/LIMS2/ODAM/RGCC/ACVRL1/CAV1/FGF10/TGM1/TGFBR3/SEMA5A/CPB2/CAV2/FGF2/JCAD/KRT4/WNT7A/AGTR1/CDH13/C5AR1/WFDC1/BMPR2/KLF9/JAML/GPC3/GATA2/HYAL1/IHH/TNFSF12/FGFR2/HOXA5/PTPRM/PDGFB/NR4A3/BMP2/FLT4/PPARG/ZFP36/DAB2IP/MCC/ATOH8/CCL24/VASH1/CXCL12/CDKN2B/NR4A1/AKT3/GJA1/APLN/EGR3/PPP1R16B/CDKN1C/EFNB2/ALDH1A2/PRKD1/JUN/WNT2/APLNR/IFT57/TGFB2/FGF7/EGFL7/RGN/PTN/ID1/BMP5/NUPR1/BMP6/CCL2/KDR/APOH	72
GO:0010631	GO:0010631	epithelial cell migration	70/1389	354/17913	2.23497403420746e-13	7.07435016357078e-11	4.76886719620985e-11	ANGPT4/TEK/RGCC/ACVRL1/PECAM1/EMP2/FGF10/STARD13/CLEC14A/PRKCE/MMRN2/GLIPR2/SEMA5A/SLIT2/RHOJ/HBEGF/KANK2/SASH1/ANGPT1/FGF2/JCAD/ADTRP/BMPER/CCBE1/TGFBR2/WNT7A/AMOTL1/AGTR2/CDH13/KLF4/PPM1F/BMPR2/ANXA3/GATA2/HYAL1/ZEB2/TNFSF12/PTPRM/SOX18/MAP3K3/EDN1/PDGFB/FLT4/PPARG/APOA1/DCN/DAB2IP/MCC/ATOH8/ETS1/VASH1/EPB41L5/NR4A1/AKT3/EGR3/EFNB2/PTPRG/MEOX2/PRKD1/JUN/CTSH/TGFB2/FGF7/PTN/ENPP2/ID1/FGF18/KDR/ANXA1/APOH	70
GO:0003007	GO:0003007	heart morphogenesis	56/1389	249/17913	2.43696698689017e-13	7.28517742025332e-11	4.91098727299621e-11	WNT3A/TEK/ACVRL1/ANKRD1/CCM2L/S1PR1/TMEM100/FOXF1/SOX17/TNNC1/TGFBR3/SMAD6/CLDN5/SLIT2/TBX3/HEG1/SLIT3/TGFBR2/ADAMTS1/DLC1/TBX2/ENG/MYL3/BMPR2/NDRG4/GATA6/RBP4/IHH/FGFR2/NRG1/ARL13B/GJA5/ROBO2/TBX5/SOX18/BMP2/SMAD7/FAT4/CCN1/GJA1/ID2/CITED2/ALDH1A2/JUN/WNT2/WNT11/IFT57/TGFB2/HEY1/AXIN2/BMP5/DNAAF1/FOLR1/OLFM1/LRP2/ELN	56
GO:0090132	GO:0090132	epithelium migration	70/1389	357/17913	3.42751546378436e-13	9.70708458453875e-11	6.5436112400005e-11	ANGPT4/TEK/RGCC/ACVRL1/PECAM1/EMP2/FGF10/STARD13/CLEC14A/PRKCE/MMRN2/GLIPR2/SEMA5A/SLIT2/RHOJ/HBEGF/KANK2/SASH1/ANGPT1/FGF2/JCAD/ADTRP/BMPER/CCBE1/TGFBR2/WNT7A/AMOTL1/AGTR2/CDH13/KLF4/PPM1F/BMPR2/ANXA3/GATA2/HYAL1/ZEB2/TNFSF12/PTPRM/SOX18/MAP3K3/EDN1/PDGFB/FLT4/PPARG/APOA1/DCN/DAB2IP/MCC/ATOH8/ETS1/VASH1/EPB41L5/NR4A1/AKT3/EGR3/EFNB2/PTPRG/MEOX2/PRKD1/JUN/CTSH/TGFB2/FGF7/PTN/ENPP2/ID1/FGF18/KDR/ANXA1/APOH	70
GO:0050673	GO:0050673	epithelial cell proliferation	78/1389	425/17913	5.6403319029078e-13	1.51753129847734e-10	1.02297809144317e-10	WNT3A/TEK/EDNRB/LIMS2/ODAM/RGCC/ACVRL1/CAV1/FGF10/TGM1/TGFBR3/SEMA5A/CPB2/CAV2/FGF2/JCAD/BMPER/KRT4/WNT7A/CD34/AGTR1/CDH13/C5AR1/WFDC1/BMPR2/KLF9/JAML/GPC3/GATA2/HYAL1/IHH/TNFSF12/FGFR2/HOXA5/SIDT2/PTPRM/PDGFB/NR4A3/BMP2/FLT4/PPARG/ZFP36/APOA1/DAB2IP/MCC/ATOH8/CCL24/VASH1/CXCL12/CDKN2B/NR4A1/AKT3/GJA1/APLN/EGR3/PPP1R16B/ID2/CDKN1C/EFNB2/ALDH1A2/PRKD1/JUN/WNT2/APLNR/IFT57/TGFB2/FGF7/EGFL7/RGN/PTN/ID1/BMP5/NUPR1/BMP6/CCL2/KDR/SDR16C5/APOH	78
GO:0070374	GO:0070374	positive regulation of ERK1 and ERK2 cascade	46/1389	186/17913	9.5797227740193e-13	2.45468991652371e-10	1.65472304156745e-10	TEK/AGER/ADRA1A/RAMP3/ALKAL2/FGF10/CD36/FPR2/GLIPR2/ANGPT1/FGF2/FFAR4/P2RY1/FGFR4/BMPER/MARCO/GPER1/C5AR1/GAS6/NDRG4/ERBB4/TLR4/FGFR2/SCIMP/NPNT/ARRB1/PDGFB/BMP2/PLA2G5/FLT4/CCN2/TNFAIP8L3/CD44/ALOX15/AKAP12/PRKCZ/JUN/CD4/LRP1/FGF18/PTPRC/CX3CL1/CD74/KDR/ICAM1/CCL21	46
GO:0032496	GO:0032496	response to lipopolysaccharide	61/1389	295/17913	1.06536648797762e-12	2.60578957809434e-10	1.75658034333534e-10	EDNRB/ANKRD1/FGF10/CD36/SMAD6/PRKCE/CYP1A2/THBD/SASH1/SELP/C5AR1/ACP5/CSF3/MRC1/SLC11A1/SNCA/TLR4/PTGER4/FGFR2/PLSCR4/CD68/CARD16/PTGIR/EDN1/MAOB/VIM/KCNJ8/KMO/PTGFR/SCGB1A1/ZFP36/LY86/DCN/SIRPA/IL6/DAB2IP/CNR1/HCK/SELE/CX3CR1/GJA1/CTSG/CASP1/AXL/P2RX7/FOS/AKAP12/SLPI/ALPL/CSF2RB/IRF8/LILRA2/PTAFR/IL1B/IRAK3/S100A8/BMP6/CX3CL1/CCL2/ICAM1/HPGD	61
GO:0050900	GO:0050900	leukocyte migration	82/1389	467/17913	1.63625875563875e-12	3.82813407134439e-10	2.58057101690212e-10	ANGPT4/TEK/EDNRB/PECAM1/JAM2/AGER/S1PR1/CAV1/VEGFD/FPR2/CXCR2/SLIT2/THBD/GYPC/CCL23/SPN/SELP/CXCR1/ANGPT1/DAPK2/ESAM/ADTRP/OLR1/EDN3/CD34/C5AR1/GAS6/IL33/DOK2/JAML/PLA2G1B/PTGER4/SLC7A7/PROS1/ATP1B2/SELPLG/PTPRO/PF4/S100A12/EDN1/BST1/PDGFB/SFTPD/DUSP1/JAM3/PREX1/SIRPA/PIK3R1/IL6/NCKAP1L/CD244/CCL24/HCK/SELE/FCER1G/SDC2/CXCL12/ITGAL/CX3CR1/CD44/DOCK8/MMP28/CSF3R/P2RY12/RARRES2/CXCL3/PTAFR/TGFB2/CMKLR1/PTN/AIF1/SPNS2/BMP5/S100A8/ITGAM/TREM1/CX3CL1/CD74/CCL2/ICAM1/CCL21/ANXA1	82
GO:1904018	GO:1904018	positive regulation of vasculature development	52/1389	232/17913	2.0090147531237e-12	4.50437849439942e-10	3.03643194704573e-10	ANGPT4/TEK/RAMP2/ACVRL1/TMEM100/CDH5/SEMA5A/CXCR2/RHOJ/HSPB6/SASH1/FGF2/JCAD/BMPER/CCBE1/TGFBR2/GPER1/CD34/AGTR1/C5AR1/KLF4/ENG/ANXA3/GATA6/GAB1/GATA2/HYAL1/TNFSF12/MYOCD/RRAS/MAP3K3/PDGFB/AQP1/ETS1/CCL24/IL1A/C6/CX3CR1/PTGIS/EGR1/AKT3/CYBB/PPP1R16B/EFNB2/PRKD1/APLNR/CTSH/IL1B/FGF18/CX3CL1/KDR/ANXA1	52
GO:0097529	GO:0097529	myeloid leukocyte migration	43/1389	170/17913	2.33548764930219e-12	5.02690361635804e-10	3.38866965873489e-10	EDNRB/PECAM1/AGER/VEGFD/FPR2/CXCR2/SLIT2/CCL23/DAPK2/EDN3/C5AR1/JAML/PLA2G1B/PTGER4/PTPRO/S100A12/EDN1/BST1/PDGFB/SFTPD/DUSP1/JAM3/PREX1/SIRPA/IL6/NCKAP1L/CCL24/CXCL12/CX3CR1/MMP28/CSF3R/P2RY12/RARRES2/CXCL3/TGFB2/CMKLR1/AIF1/S100A8/CX3CL1/CD74/CCL2/CCL21/ANXA1	43
GO:0002237	GO:0002237	response to molecule of bacterial origin	62/1389	309/17913	2.76396529175634e-12	5.72034509036188e-10	3.85612323700095e-10	EDNRB/ANKRD1/FGF10/CD36/SMAD6/PRKCE/CYP1A2/THBD/SASH1/SELP/C5AR1/ACP5/CSF3/MRC1/SLC11A1/SNCA/TLR4/PTGER4/FGFR2/PLSCR4/CD68/CARD16/PTGIR/EDN1/MAOB/VIM/KCNJ8/KMO/PTGFR/SCGB1A1/ZFP36/LY86/DCN/SIRPA/IL6/DAB2IP/CNR1/HCK/SELE/CXCL2/CX3CR1/GJA1/CTSG/CASP1/AXL/P2RX7/FOS/AKAP12/SLPI/ALPL/CSF2RB/IRF8/LILRA2/PTAFR/IL1B/IRAK3/S100A8/BMP6/CX3CL1/CCL2/ICAM1/HPGD	62
GO:0051047	GO:0051047	positive regulation of secretion	74/1389	409/17913	4.62553946061358e-12	9.21852882872655e-10	6.21427250731946e-10	SLC6A4/EDNRB/RGCC/ANKRD1/AGER/ADCY8/PRKCE/NPR1/CPB2/FGR/SPTBN1/RETN/P2RY1/LILRA5/IL1RL1/EDN3/GPER1/CD34/AGTR2/IL33/FRMD4A/HYAL2/PLA2G1B/HLA-E/RBP4/GATA2/LPL/SNCA/TLR4/PTGER4/TLR8/LRRK2/CD33/ARRB1/CLEC4E/APBB1/MYH10/EDN1/FCN1/KMO/AQP1/IL6/CD244/CADM1/CNR1/RAB8B/GAB2/IL1A/HCAR2/FCER1G/CXCL12/GJA1/APLN/CFTR/CASP1/P2RX7/AKAP12/PRKCZ/LILRA2/PTAFR/TGFB2/IL1B/LRP1/UNC13D/AIF1/UNC13B/S100A8/ITGAM/BMP6/CD274/NR0B2/ALOX15B/CHIA/GRP	74
GO:0060326	GO:0060326	cell chemotaxis	54/1389	253/17913	5.85915649455031e-12	1.12600432489911e-09	7.59047115797758e-10	EDNRB/S1PR1/VEGFD/FPR2/SEMA5A/CXCR2/SLIT2/HBEGF/CCL23/CXCR1/FGF2/DAPK2/EDN3/DOCK4/AGTR1/C5AR1/GAS6/JAML/GAB1/PLA2G1B/PRKCQ/PTPRO/PF4/S100A12/EDN1/BST1/PDGFB/SFTPD/DUSP1/JAM3/PREX1/IL6/NCKAP1L/CCL24/CXCL12/NR4A1/EGR3/MMP28/CSF3R/PRKD1/RARRES2/CXCL3/TGFB2/CMKLR1/PTN/AIF1/FGF18/S100A8/CX3CL1/CD74/CCL2/KDR/CCL21/ANXA1	54
GO:0022407	GO:0022407	regulation of cell-cell adhesion	71/1389	389/17913	8.27898877600815e-12	1.52156060361461e-09	1.02569427323349e-09	WNT3A/RGCC/AGER/CCM2L/CAV1/TNR/LRRC32/SPN/VSIR/ADTRP/PDE5A/TGFBR2/MYADM/PLPP3/KLF4/PPM1F/VSIG4/MDGA1/HLA-E/PRKCQ/UBASH3B/IHH/IL7R/PRKG1/ZBTB16/HLX/CD83/NR4A3/BMP2/SFTPD/SMAD7/SCGB1A1/APOA1/PIK3R1/IL6/NCKAP1L/RDX/MAP3K8/ETS1/PDPN/PODXL/CXCL12/EPB41L5/CD44/DOCK8/EGR3/EFNB2/TFRC/ALOX15/EFNB1/CITED2/PDCD1LG2/FERMT3/PRKCZ/PTAFR/HLA-DPA1/CD4/IL1B/SASH3/HLA-DPB1/AIF1/FSTL3/PTPRC/CX3CL1/CD74/CD274/CCL2/FOXA2/ICAM1/CCL21/ANXA1	71
GO:1903532	GO:1903532	positive regulation of secretion by cell	70/1389	381/17913	8.48296192314407e-12	1.52156060361461e-09	1.02569427323349e-09	SLC6A4/RGCC/ANKRD1/AGER/ADCY8/PRKCE/CPB2/FGR/SPTBN1/RETN/P2RY1/LILRA5/IL1RL1/EDN3/GPER1/CD34/AGTR2/IL33/FRMD4A/HYAL2/PLA2G1B/HLA-E/RBP4/GATA2/LPL/SNCA/TLR4/PTGER4/TLR8/LRRK2/CD33/ARRB1/CLEC4E/APBB1/MYH10/EDN1/FCN1/KMO/IL6/CD244/CADM1/CNR1/RAB8B/GAB2/IL1A/HCAR2/FCER1G/CXCL12/GJA1/APLN/CFTR/CASP1/P2RX7/AKAP12/PRKCZ/LILRA2/PTAFR/TGFB2/IL1B/LRP1/UNC13D/AIF1/UNC13B/ITGAM/BMP6/CD274/NR0B2/ALOX15B/CHIA/GRP	70
GO:0003158	GO:0003158	endothelium development	35/1389	124/17913	8.96092661537306e-12	1.55544342313943e-09	1.04853491057982e-09	SCUBE1/ACVRL1/PECAM1/S1PR1/TMEM100/CDH5/ARHGEF26/SOX17/STARD13/CLDN5/HEG1/NOTCH4/WNT7A/CD34/MYADM/ENG/PDE2A/BMPR2/ZEB1/NRG1/GJA4/GJA5/SOX18/RDX/ATOH8/PDPN/GJA1/PPP1R16B/IL1B/PTN/HEY1/ID1/BMP6/KDR/ICAM1	35
