Gene	Type
253	CDK1	Up
254	LDHA	Up
255	P4HB	Up
256	HELLS	Up
257	SPC25	Up
258	PIMREG	Up
259	RAD51	Up
260	SLC7A5	Up
261	FANCD2	Up
262	POLG2	Up
263	TYMS	Up
264	FEN1	Up
265	CHEK1	Up
266	PC	Up
267	MRGBP	Up
268	HMBS	Up
269	SKA1	Up
270	PDK1	Up
271	CBX4	Up
272	HSH2D	Up
273	PTPRH	Up
274	PPIF	Up
275	DTYMK	Up
276	P2RY6	Up
277	ALG3	Up
278	STYK1	Up
279	KIF22	Up
280	TIMP1	Up
281	KIF15	Up
282	ILF2	Up
283	BOP1	Up
284	BPHL	Up
285	ESPL1	Up
286	SLC52A2	Up
287	SLC5A6	Up
288	TMED3	Up
289	BLM	Up
290	RALGPS2	Up
291	RFC4	Up
292	IRAK1	Up
293	VMP1	Up
294	RAB26	Up
295	SSR4	Up
296	RUSC1	Up
297	RBBP8NL	Up
298	KIF23	Up
299	TMEM79	Up
300	NME4	Up
301	PTGES	Up
302	BRIP1	Up
303	KRT80	Up
304	TSACC	Up
305	VARS1	Up
306	E2F2	Up
307	BYSL	Up
308	ADCK5	Up
309	ZNF692	Up
310	FOXP3	Up
311	TACC3	Up
312	WNT3	Up
313	MCM2	Up
314	IKBKE	Up
315	SYT7	Up
316	GREM1	Up
317	INAVA	Up
318	CKS1B	Up
319	CENPL	Up
320	TRIP13	Up
321	XPR1	Up
322	BCL2L15	Up
323	RHBDL1	Up
324	MMP1	Up
325	ACP6	Up
326	DERL3	Up
327	MARVELD3	Up
328	COL3A1	Up
329	ZNF239	Up
330	PGM2L1	Up
331	BRIX1	Up
332	SUV39H2	Up
333	CENPI	Up
334	LAD1	Up
335	TDRKH	Up
336	KCNN4	Up
337	TFAP2A	Up
338	ABCC3	Up
339	PUS1	Up
340	POC1A	Up
341	KNL1	Up
342	TPBG	Up
343	CYP27B1	Up
344	PKP3	Up
345	TWNK	Up
346	PUS7	Up
347	PFKP	Up
348	FIGNL1	Up
349	FAM83D	Up
350	CENPM	Up
351	GNPNAT1	Up
352	MIS18A	Up
353	IL1RL2	Up
354	ENO1	Up
355	CLCN2	Up
356	HDHD3	Up
357	FANCG	Up
358	ABHD11	Up
359	F12	Up
360	DTL	Up
361	CILP2	Up
362	ADAMTS14	Up
363	CENPK	Up
364	HNF4G	Up
365	C5orf34	Up
366	PYCR3	Up
367	OIP5	Up
368	XDH	Up
369	CST1	Up
370	CHTF18	Up
371	SEMA4B	Up
372	CELSR3	Up
373	CDC25A	Up
374	ST14	Up
375	P4HA3	Up
376	ABCB6	Up
377	GPI	Up
378	AP1S1	Up
379	GFPT1	Up
380	GMDS	Up
381	NCAPG2	Up
382	ESCO2	Up
383	ATAD2	Up
384	ALG1L	Up
385	MCM6	Up
386	MSI2	Up
387	GYG2	Up
388	FHL2	Up
389	MZT2A	Up
390	HGH1	Up
391	ASNS	Up
392	PRR19	Up
393	PARPBP	Up
394	PUSL1	Up
395	ANKRD22	Up
396	STK39	Up
397	PLK4	Up
398	CYP24A1	Up
399	CHEK2	Up
400	GCNT3	Up
401	CP	Up
402	CXCL13	Up
403	MTHFD2	Up
404	TTYH3	Up
405	NEIL3	Up
406	BICDL1	Up
407	PITX1	Up
408	CENPE	Up
409	BCL9	Up
410	GMNN	Up
411	DARS2	Up
412	ZC3HAV1L	Up
413	BAIAP2L1	Up
414	CNFN	Up
415	MMP12	Up
416	TICRR	Up
417	DBF4	Up
418	TFR2	Up
419	H2AX	Up
420	MROH6	Up
421	FBXO32	Up
422	GINS4	Up
423	CCT5	Up
424	PPP1R14D	Up
425	ARHGAP40	Up
426	CCN4	Up
427	RGS17	Up
428	POLQ	Up
429	CDCA4	Up
430	RAD51AP1	Up
431	TMEM132A	Up
432	GRTP1	Up
433	ADAM8	Up
434	STEAP1	Up
435	C2CD4A	Up
436	GRHL3	Up
437	COA6	Up
438	ATAT1	Up
439	CLSPN	Up
440	CREB3L4	Up
441	TUBG1	Up
442	SPDEF	Up
443	HCN3	Up
444	ATAD3A	Up
445	CEACAM1	Up
446	CENPH	Up
447	RAB5IF	Up
448	CPNE7	Up
449	TPI1	Up
450	SLC2A5	Up
451	CCHCR1	Up
452	COL11A1	Up
453	YDJC	Up
454	LARGE2	Up
455	ARHGAP11A	Up
456	PPP1R35	Up
457	SORD	Up
458	SLFN13	Up
459	PABPC1L	Up
460	ALDOA	Up
461	TNFRSF18	Up
462	ADAM28	Up
463	ITGA11	Up
464	PLXNB3	Up
465	RAC3	Up
466	WDHD1	Up
467	PODXL2	Up
468	MEST	Up
469	MRPL15	Up
470	GALNT14	Up
471	SULF1	Up
472	PRR11	Up
473	ATAD3B	Up
474	FUT3	Up
475	EXOSC5	Up
476	LYPD1	Up
477	FAP	Up
478	ZNF217	Up
479	FBXL19	Up
480	DDX11	Up
481	ABCA12	Up
482	CABLES2	Up
483	CPXM1	Up
484	MNX1	Up
485	DNAJC22	Up
486	C2CD4D	Up
487	MTFR1	Up
488	NMU	Up
489	WDR62	Up
490	RHPN1	Up
491	SLC17A9	Up
492	ITPKA	Up
493	ZP3	Up
494	MB	Up
495	RHOV	Up
496	FUT8	Up
497	IDH2	Up
498	DNAJC12	Up
499	SELENOI	Up
500	IGFBP3	Up
501	TSPAN6	Up
502	SLC22A18AS	Up
503	MICALL2	Up
504	ENTPD8	Up
505	NUP155	Up
506	TNFRSF25	Up
507	CCDC34	Up
508	SBK1	Up
509	SRD5A1	Up
510	SERPINH1	Up
511	H1-0	Up
512	RNASEH2A	Up
513	AUNIP	Up
514	RPL39L	Up
515	ADAM12	Up
516	SMPDL3B	Up
517	NQO1	Up
518	SALL4	Up
519	LRRC20	Up
520	SLC26A6	Up
521	ZDHHC9	Up
522	C15orf48	Up
523	COL5A2	Up
524	KLHL17	Up
525	RUNX2	Up
526	ESRP1	Up
527	FBXO41	Up
528	SOX12	Up
529	WFDC3	Up
530	ACY3	Up
531	HASPIN	Up
532	PIF1	Up
533	SIX1	Up
534	CCNE2	Up
535	PAQR4	Up
536	NSMF	Up
537	LAGE3	Up
538	NET1	Up
539	OVOL1	Up
540	MESP1	Up
541	BARX2	Up
542	CCNO	Up
543	CHRNA5	Up
544	CABYR	Up
545	THY1	Up
546	STRA6	Up
547	BIK	Up
548	ARHGEF19	Up
549	LSR	Up
550	GOLGA7B	Up
551	DTX2	Up
552	TBX15	Up
553	COL5A1	Up
554	ZYG11A	Up
555	HYOU1	Up
556	PRR36	Up
557	NGEF	Up
558	H2AC17	Up
559	IER5L	Up
560	DSCC1	Up
561	SLC22A18	Up
562	BDH1	Up
563	CERCAM	Up
564	SPINK1	Up
565	LAPTM4B	Up
566	LIMK1	Up
567	CDH3	Up
568	EPHB2	Up
569	SLC29A4	Up
570	CIP2A	Up
571	LGSN	Up
572	B4GALNT4	Up
573	GSDMB	Up
574	BHLHA15	Up
575	BMP8A	Up
576	CARD14	Up
577	TTC39C	Up
578	AK4	Up
579	BEAN1	Up
580	EPHX4	Up
581	IL23A	Up
582	EGLN3	Up
583	CA9	Up
584	SYT12	Up
585	MMP9	Up
586	UBE2S	Up
587	TRAF5	Up
588	PTGFRN	Up
589	SGO2	Up
590	RACGAP1	Up
591	H2AC13	Up
592	BAIAP2L2	Up
593	SRD5A3	Up
594	MMP13	Up
595	SCG5	Up
596	CHPF	Up
597	CGREF1	Up
598	GAREM2	Up
599	FAM83H	Up
600	MCIDAS	Up
601	TSKU	Up
602	METTL7B	Up
603	MMP17	Up
604	MCM7	Up
605	KPNA7	Up
606	TMEM63C	Up
607	ARHGAP39	Up
608	SMIM22	Up
609	MANEAL	Up
610	EEF1A2	Up
611	RTN4RL2	Up
612	IRF7	Up
613	MRPL12	Up
614	NUDT8	Up
615	JSRP1	Up
616	PODNL1	Up
617	CBX2	Up
618	DNTTIP1	Up
619	EPOP	Up
620	SRPK3	Up
621	KRT8	Up
622	SRPX2	Up
623	TMEM45B	Up
624	CAPN12	Up
625	FA2H	Up
626	ITM2C	Up
627	DNMT3B	Up
628	HTR3A	Up
629	ATP6V1C2	Up
630	DBN1	Up
631	PANX2	Up
632	ADGRG1	Up
633	LIPM	Up
634	LGI2	Up
635	TMEM156	Up
636	SYNGR3	Up
637	TRIM46	Up
638	TMPRSS11E	Up
639	PLPP4	Up
640	HPDL	Up
641	HES6	Up
642	MYEOV	Up
643	IL4I1	Up
644	B3GNT6	Up
645	DSP	Up
646	COMP	Up
647	NECTIN1	Up
648	DEPTOR	Up
649	RNF207	Up
650	RAMP1	Up
651	KIFC2	Up
652	THEM5	Up
653	DDIT4L	Up
654	MELTF	Up
655	H3C10	Up
656	ESPN	Up
657	ADGRF4	Up
658	ATP10B	Up
659	PLAU	Up
660	TMEM52	Up
661	ASPHD1	Up
662	ADAMTS16	Up
663	CFB	Up
664	KISS1R	Up
665	CEACAM5	Up
666	KRTCAP3	Up
667	CDH24	Up
668	EPHX3	Up
669	FCRL5	Up
670	ARNTL2	Up
671	ANO9	Up
672	VPREB3	Up
673	E2F7	Up
674	TOX3	Up
675	AOC1	Up
676	NUP62CL	Up
677	CARD11	Up
678	RNFT2	Up
679	RCOR2	Up
680	FAM155B	Up
681	AKR7A3	Up
682	ALDH3B2	Up
683	PLEKHG6	Up
684	PDGFRL	Up
685	UGDH	Up
686	MX2	Up
687	MUC20	Up
688	KRT18	Up
689	POSTN	Up
690	SRCIN1	Up
691	STK32A	Up
692	DIO2	Up
693	SLC7A11	Up
694	LYPD3	Up
695	MUC3A	Up
696	C4orf48	Up
697	MAP7D2	Up
698	SLC39A4	Up
699	NETO2	Up
700	FAM178B	Up
701	GPR84	Up
702	IGLL5	Up
703	YBX2	Up
704	KCNQ3	Up
705	EIF4EBP1	Up
706	PROC	Up
707	XKRX	Up
708	RCN3	Up
709	COL7A1	Up
710	MZB1	Up
711	SLC6A8	Up
712	E2F1	Up
713	TESMIN	Up
714	ENC1	Up
715	COCH	Up
716	SMOX	Up
717	COL17A1	Up
718	CENPW	Up
719	FKBP10	Up
720	SUGCT	Up
721	H3C4	Up
722	XKR9	Up
723	HSF4	Up
724	LEMD1	Up
725	IGFL2	Up
726	CLDN4	Up
727	ADAMTS12	Up
728	MFAP2	Up
729	MTMR11	Up
730	ADAMDEC1	Up
731	RASGEF1A	Up
732	NHS	Up
733	FEZF1	Up
734	REEP6	Up
735	H4C8	Up
736	STRIP2	Up
737	ERFE	Up
738	APOBEC3B	Up
739	CLPSL2	Up
740	FOXO6	Up
741	TNFSF11	Up
742	MIF	Up
743	PITX2	Up
744	CAPN5	Up
745	KRT16	Up
746	SLC16A3	Up
747	DSG2	Up
748	PLOD2	Up
749	H2BC8	Up
750	FOXA3	Up
751	CKMT1A	Up
752	OPLAH	Up
753	TRIM31	Up
754	S100P	Up
755	FNDC1	Up
756	ADSS1	Up
757	CD79A	Up
758	NFE2L3	Up
759	CKMT1B	Up
760	SMKR1	Up
761	S100A2	Up
762	TAS1R3	Up
763	PRAME	Up
764	PLAAT1	Up
765	PLEKHA6	Up
766	CLDN3	Up
767	IGF2BP3	Up
768	SYCE3	Up
769	PAX9	Up
770	AIM2	Up
771	IL31RA	Up
772	KRTAP4-1	Up
773	GRHL1	Up
774	CDKN2A	Up
775	HILPDA	Up
776	GSDMC	Up
777	PGLYRP4	Up
778	DIRAS1	Up
779	CYP27C1	Up
780	GLB1L2	Up
781	PRSS22	Up
782	SGPP2	Up
783	TMEM171	Up
784	LOXL2	Up
785	FNDC4	Up
786	AGR2	Up
787	PCP4	Up
788	CPD	Up
789	PIP5KL1	Up
790	MIOX	Up
791	H2AC8	Up
792	H1-4	Up
793	HHIPL2	Up
794	CD19	Up
795	EGF	Up
796	LINGO1	Up
797	GPR87	Up
798	DOK5	Up
799	CST2	Up
800	H2BC4	Up
801	CT83	Up
802	IL2RA	Up
803	H2BC9	Up
804	KRT15	Up
805	TNFRSF17	Up
806	NXPH4	Up
807	RAB15	Up
808	FGL1	Up
809	PMAIP1	Up
810	HAVCR1	Up
811	TRIM2	Up
812	GPR37	Up
813	APBA2	Up
814	SFN	Up
815	WDR86	Up
816	PAEP	Up
817	NOXA1	Up
818	POU2AF1	Up
819	VCAN	Up
820	SLC44A5	Up
821	C11orf86	Up
822	TNS4	Up
823	CXCL14	Up
824	GALNT6	Up
825	GPR35	Up
826	LCN2	Up
827	FUT6	Up
828	NPW	Up
829	LRRC15	Up
830	SLC16A9	Up
831	PTK6	Up
832	FOXA1	Up
833	MMP3	Up
834	CD27	Up
835	MUC13	Up
836	BARX1	Up
837	SRMS	Up
838	SEZ6L2	Up
839	H2AC7	Up
840	CLDN10	Up
841	COL1A2	Up
842	AHNAK2	Up
843	LAMP5	Up
844	ENTPD2	Up
845	MXRA5	Up
846	HGD	Up
847	LY6D	Up
848	VIL1	Up
849	IL37	Up
850	PKIB	Up
851	SPINK2	Up
852	SPOCK1	Up
853	BASP1	Up
854	CTSV	Up
855	QPCT	Up
856	SLC16A14	Up
857	HCAR1	Up
858	IBSP	Up
859	HOXC13	Up
860	GPX2	Up
861	UCHL1	Up
862	IGFBPL1	Up
863	DUSP9	Up
864	RNF183	Up
865	TDRD5	Up
866	SIX2	Up
867	PRRX2	Up
868	FDCSP	Up
869	SPTB	Up
870	TCN1	Up
871	TESC	Up
872	HOXC9	Up
873	GJB6	Up
874	CILP	Up
875	TWIST1	Up
876	MUC4	Up
877	MUC16	Up
878	GLB1L3	Up
879	HORMAD1	Up
880	TFF1	Up
881	IL20RB	Up
882	DUSP13	Up
883	TMEM59L	Up
884	CR2	Up
885	ECEL1	Up
886	AKR1B10	Up
887	DUSP4	Up
888	PLA2G4A	Up
889	STEAP2	Up
890	GRIN2D	Up
891	WFDC10B	Up
892	CEMIP	Up
893	PPP2R2C	Up
894	HOXA10	Up
895	DLX3	Up
896	C6orf141	Up
897	TUBB2B	Up
898	H1-2	Up
899	BPIFA2	Up
900	SLC4A11	Up
901	GAL	Up
902	MMP10	Up
903	ABCA4	Up
904	IL36RN	Up
905	SCUBE3	Up
906	CIT	Up
907	HOXC11	Up
908	NRK	Up
909	WFDC2	Up
910	ST6GALNAC1	Up
911	RFLNA	Up
912	UPK3A	Up
913	TRPM8	Up
914	PGGHG	Up
915	HOXB7	Up
916	CST4	Up
917	MUC5B	Up
918	HOXC10	Up
919	DLL3	Up
920	KCNK1	Up
921	KCNK5	Up
922	LY6K	Up
923	COL9A2	Up
924	H4C5	Up
925	UGT8	Up
926	SLC7A10	Up
927	GCLC	Up
928	GNG4	Up
929	CD24	Up
930	HKDC1	Up
931	PTHLH	Up
932	AKR1B15	Up
933	KCNE4	Up
934	MUC21	Up
935	H2AW	Up
936	GJB3	Up
937	INHA	Up
938	ACHE	Up
939	KRT6A	Up
940	HOXB9	Up
941	SPRR1B	Up
942	FAM177B	Up
943	FGB	Up
944	NCCRP1	Up
945	SP5	Up
946	CRABP1	Up
947	KRT81	Up
948	FOXI3	Up
949	TNNT1	Up
950	ITGB4	Up
951	EDN2	Up
952	PFN2	Up
953	PRSS2	Up
954	ENO3	Up
955	SMIM31	Up
956	SPTSSB	Up
957	CEACAM7	Up
958	CNGA3	Up
959	HAL	Up
960	SMIM24	Up
961	PRSS3	Up
962	KLK6	Up
963	NT5E	Up
964	CDH17	Up
965	VSTM2L	Up
966	CRLF1	Up
967	SERPINB5	Up
968	UBD	Up
969	BRDT	Up
970	ANGPTL4	Up
971	AGT	Up
972	VTCN1	Up
973	NMNAT2	Up
974	MS4A1	Up
975	CLDN9	Up
976	IVL	Up
977	MYBPH	Up
978	VSIG1	Up
979	CLDN6	Up
980	CCL19	Up
981	SMOC1	Up
982	HABP2	Up
983	SYT13	Up
984	CDA	Up
985	MAGEA3	Up
986	KIF1A	Up
987	ADGRF1	Up
988	BPIFA1	Up
989	TFPI2	Up
990	PCSK1N	Up
991	MAGEA6	Up
992	ERN2	Up
993	GFRA3	Up
994	ARSL	Up
995	BPIFB2	Up
996	CCL20	Up
997	CSAG1	Up
998	CPS1	Up
999	MMP7	Up
1000	BHMT2	Up
1001	KRT17	Up
1002	TM4SF4	Up
1003	SAA1	Up
1004	TFF2	Up
1005	KLK12	Up
1006	CALCA	Up
1007	MSMB	Up
1008	SERTM1	Down
1009	ANGPT4	Down
1010	SH3GL3	Down
1011	RS1	Down
1012	C10orf67	Down
1013	SLC6A4	Down
1014	GPM6A	Down
1015	CD300LG	Down
1016	SGCG	Down
1017	CD5L	Down
1018	GYPE	Down
1019	WNT3A	Down
1020	ITLN2	Down
1021	OVCH1	Down
1022	CHRM1	Down
1023	SCUBE1	Down
1024	RTKN2	Down
1025	MYOC	Down
1026	SPAAR	Down
1027	FREM3	Down
1028	RXFP1	Down
1029	GRIA1	Down
1030	PTPRQ	Down
1031	MYZAP	Down
1032	FABP4	Down
1033	JPH4	Down
1034	C20orf202	Down
1035	FAM107A	Down
1036	LGI3	Down
1037	RSPO1	Down
1038	FXYD1	Down
1039	CA4	Down
1040	CNTN6	Down
1041	KCNA4	Down
1042	HBA1	Down
1043	NECAB1	Down
1044	OTC	Down
1045	TAL1	Down
1046	ANGPTL7	Down
1047	NCKAP5	Down
1048	TEK	Down
1049	STX11	Down
1050	KANK3	Down
1051	ST8SIA6	Down
1052	OTUD1	Down
1053	GPD1	Down
1054	STXBP6	Down
1055	EDNRB	Down
1056	LIMS2	Down
1057	ODAM	Down
1058	RAMP2	Down
1059	HTR3C	Down
1060	RGCC	Down
1061	HSPA12B	Down
1062	ACVRL1	Down
1063	CCDC85A	Down
1064	ASPA	Down
1065	PECAM1	Down
1066	ECSCR	Down
1067	JAM2	Down
1068	ANKRD1	Down
1069	GPIHBP1	Down
1070	AGER	Down
1071	UPK3B	Down
1072	CCM2L	Down
1073	ADRA1A	Down
1074	S1PR1	Down
1075	NOVA2	Down
1076	CTXND1	Down
1077	CLEC1A	Down
1078	CCDC141	Down
1079	SEMA3G	Down
1080	LDB2	Down
1081	PRX	Down
1082	ROBO4	Down
1083	CLEC3B	Down
1084	ARHGAP6	Down
1085	FGFBP2	Down
1086	EPAS1	Down
1087	RAMP3	Down
1088	ALKAL2	Down
1089	USHBP1	Down
1090	ADAMTS8	Down
1091	FHL1	Down
1092	NMUR1	Down
1093	EMP2	Down
1094	TMEM100	Down
1095	GRIK4	Down
1096	ADRB2	Down
1097	BTNL9	Down
1098	SPOCK2	Down
1099	CAV1	Down
1100	LIN7A	Down
1101	CD101	Down
1102	FGF10	Down
1103	MASP1	Down
1104	FOXF1	Down
1105	ACTN2	Down
1106	FCN3	Down
1107	ADCY8	Down
1108	RGS9	Down
1109	GPR146	Down
1110	PTPN21	Down
1111	ADGRE3	Down
1112	ACADL	Down
1113	OVCH2	Down
1114	TCF21	Down
1115	CLIC5	Down
1116	LYVE1	Down
1117	GSTM5	Down
1118	GRK5	Down
1119	PLAC9	Down
1120	WWC2	Down
1121	MGAT3	Down
1122	PRKG2	Down
1123	TNR	Down
1124	FRMD3	Down
1125	SYT15	Down
1126	SLC19A3	Down
1127	SH2D3C	Down
1128	SIRPB1	Down
1129	CDH5	Down
1130	CALCRL	Down
1131	DCC	Down
1132	MCEMP1	Down
1133	ARHGEF15	Down
1134	KCNT2	Down
1135	NXPH3	Down
1136	CAVIN2	Down
1137	FGD5	Down
1138	ABCA8	Down
1139	EMCN	Down
1140	MYCT1	Down
1141	FHL5	Down
1142	LRRN3	Down
1143	FMO2	Down
1144	ARHGEF26	Down
1145	SOX17	Down
1146	TNNC1	Down
1147	CYYR1	Down
1148	IQSEC3	Down
1149	RASIP1	Down
1150	RBP2	Down
1151	SOX7	Down
1152	GDF10	Down
1153	ALAS2	Down
1154	GIMAP8	Down
1155	PTPRB	Down
1156	HIGD1B	Down
1157	LRRC36	Down
1158	CDO1	Down
1159	SCN4B	Down
1160	STARD13	Down
1161	EFCC1	Down
1162	AGRP	Down
1163	SEMA6A	Down
1164	CD36	Down
1165	PDLIM2	Down
1166	LRRC2	Down
1167	CMTM2	Down
1168	C14orf132	Down
1169	VEGFD	Down
1170	THSD1	Down
1171	GP9	Down
1172	FPR2	Down
1173	ARC	Down
1174	TUBB1	Down
1175	CLEC4M	Down
1176	FAM110D	Down
1177	TENT5B	Down
1178	TGM1	Down
1179	FEZ1	Down
1180	SLC39A8	Down
1181	SOSTDC1	Down
1182	NLRC4	Down
1183	INMT	Down
1184	TGFBR3	Down
1185	KIF17	Down
1186	CLEC14A	Down
1187	SIGLEC11	Down
1188	HBA2	Down
1189	GPA33	Down
1190	DNASE1L3	Down
1191	SMAD6	Down
1192	ERG	Down
1193	IGSF10	Down
1194	PRKCE	Down
1195	STARD8	Down
1196	ACKR4	Down
1197	NPR1	Down
1198	VIPR1	Down
1199	SBSPON	Down
1200	LMO2	Down
1201	CAT	Down
1202	PTCRA	Down
1203	PKNOX2	Down
1204	ANGPTL1	Down
1205	FAM189A2	Down
1206	ADRB1	Down
1207	PHACTR1	Down
1208	DPEP2	Down
1209	TRHDE	Down
1210	DACH1	Down
1211	COL6A6	Down
1212	KL	Down
1213	SLC14A1	Down
1214	ADGRE1	Down
1215	MMRN2	Down
1216	F11	Down
1217	ANOS1	Down
1218	CLDN5	Down
1219	TCEAL2	Down
1220	RSPO2	Down
1221	CFP	Down
1222	GIMAP1	Down
1223	COLEC10	Down
1224	TMEM88	Down
1225	FOLR3	Down
1226	CLDN18	Down
1227	GLIPR2	Down
1228	CASQ2	Down
1229	PI16	Down
1230	MME	Down
1231	LRRC32	Down
1232	PKHD1L1	Down
1233	ADAMTSL3	Down
1234	AOC3	Down
1235	SEMA5A	Down
1236	CXCR2	Down
1237	HBB	Down
1238	CYP1A2	Down
1239	SLIT2	Down
1240	CSRNP1	Down
1241	HHIP	Down
1242	GLDN	Down
1243	RHOJ	Down
1244	GIMAP6	Down
1245	RASGRP4	Down
1246	SYNC	Down
1247	ART4	Down
1248	ARHGAP31	Down
1249	SULT1C4	Down
1250	RADIL	Down
1251	THBD	Down
1252	RAI2	Down
1253	CORO2B	Down
1254	PLA2G4F	Down
1255	COX7A1	Down
1256	ADPRH	Down
1257	DENND3	Down
1258	PLCL1	Down
1259	SNX22	Down
1260	PRSS35	Down
1261	PEAR1	Down
1262	CAMP	Down
1263	IL3RA	Down
1264	PALMD	Down
1265	TIE1	Down
1266	FAM162B	Down
1267	ODF3L1	Down
1268	DNASE2B	Down
1269	SESN1	Down
